Country	ISO3	ISO2	Continent	Region	Capital_Latitude_Deg	Capital_Longitude_Deg	Land_Area_SqKm	Population_2024_Ref_Millions	GDP_2024_Ref_USD_Billions	Population_Year_Millions	Year	Fossil_Share_Of_Energy_Index	Energy_Intensity_Index	Temperature_Anomaly_C	Annual_Mean_Temp_C	Summer_Mean_Temp_C	Winter_Mean_Temp_C	Annual_Max_Temp_C	Annual_Min_Temp_C	Heatwave_Days	Frost_Days	CO2_Emissions_Total_Mt	CO2_Per_Capita_Tons	Methane_Emissions_MtCO2e	N2O_Emissions_MtCO2e	CO2_Energy_Sector_Mt	CO2_Transportation_Mt	CO2_Industrial_Mt	CO2_Residential_Mt	Renewable_Energy_Share_Pct	Coal_Consumption_Mtoe	Oil_Consumption_Mtoe	Gas_Consumption_Mtoe	Electricity_Consumption_TWh	Solar_Installed_Capacity_GW	Wind_Installed_Capacity_GW	Hydropower_Installed_Capacity_GW	Forest_Area_Pct_Of_Land	Forest_Area_SqKm	Forest_Loss_Annual_SqKm	Deforestation_Rate_Pct_Per_Yr	Reforestation_Annual_SqKm	Tree_Cover_Net_Change_Pct_Per_Yr	Annual_Rainfall_mm	Drought_Index_0to100	Water_Avail_CumM3PerCapita	Freshwater_Withdrawal_Pct_Of_Avail	Groundwater_Level_Index	Crop_Yield_Index	Soil_Moisture_Pct	Irrigated_Area_Pct_Of_AgriLand	Agri_Emissions_MtCO2e	Food_Production_Index	Sea_Level_Rise_Cumulative_mm	Ocean_Heat_Content_Index	Ocean_pH	Coastal_Flood_Risk_Index_0to100	PM2_5_Annual_Mean_ug_m3	PM10_Annual_Mean_ug_m3	Air_Quality_Index	Ozone_Annual_Mean_ug_m3	NO2_Annual_Mean_ug_m3	Hurricanes	Cyclones	Flood_Events_Count	Wildfires	Landslides	Tornadoes	Storms	Drought_Events_Count	Endangered_Species_Count	Habitat_Loss_Index_0to100	Coral_Bleaching_Index_0to100	Wildlife_Population_Index	GDP_Current_USD_Billions	GDP_Loss_Climate_Pct	Climate_Damage_Cost_USD_Billions	Agricultural_Loss_USD_Billions	Disaster_Insurance_Loss_USD_Billions	Heat_Related_Deaths	Heat_Related_Deaths_Per_Million	Respiratory_Disease_Rate_Per100k	Climate_Displaced_Persons_Thousands	Food_Insecurity_Index_0to100	Climate_Policy_Score_0to100	Net_Zero_Target	Carbon_Tax_USD_Per_TonCO2	Protected_Area_Pct_Of_Land	Environmental_Performance_Index	SDG_Climate_Score_0to100	ESG_Score	Green_Investment_USD_Billions	Recycling_Rate_Pct
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	36.551	2000	0.115025741	0.089029974	-0.052	13.47	21.07	6.65	29.69	0.16	18	56	0.023	0.634	2.861	0.996	0.009	0.003	0.004	0.007	13.68	0.5	0.722	0.413	36.42	0	0	0.07	31.57	206107.9	125.92	0.061	21.24	-0.016	1560.6	41.7	8851.3	5.17	101.8	90.6	40.8	21.9	0.768	85.9	31.27	-2.14	8.0856	5.8	9.59	14.77	22.2	18.89	7.88		0	0	0	0	0	2	2	145	0.7		100.8	8.542	0.501	0.043	0.053	0.0092	134.9	3.691	266	2.78	63.3	19.4	0	0	3.48	31.7	30	30.1	0	5.1
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	36.883	2001	0.115025741	0.089029974	0.077	13.96	21.67	6.31	30.5	0.28	19	53	0.025	0.686	2.782	1.094	0.007	0.004	0.004	0.01	13.11	0.351	0.629	0.662	42.32	0	0	0.056	36.48	238163.3	126.41	0.053	19.56	-0.0164	1492.8	44	8794.6	7.47	99.1	92.5	43.7	25.7	0.813	87.9	37.72	2.35	8.0807	19.7	8.34	12.72	23.5	19.65	14.48	0	0	2	2	0	0	1	0	159	11.8		96.4	8.669	0.646	0.056	0.0547	0.0189	97	2.63	249.7	4.76	69.4	26.8	0	0	6.29	28.3	36.9	28.2	0	4.4
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860		17.3	37.215	2002	0.115025741	0.089029974	0.145	14.2	21.91	6.89	28	1.57	24	53	0.026	0.693	3.123	1.021	0.009	0.003	0.006	0.008	13.6	0.385	0.823	0.448	43.92	0	0	0.061	36.99	241492.9	155.25	0.064	13.99	-0.0216	1419.6	48.3	8738.7	11.7	102.6	89.8	38.5	29.5	0.891	86.1	37.5	3.03	8.0784	21.6	10.66	16.4	23.5	27.18	11.28	0	0	1	3	1	0	0	0	144	8.9		91.9	8.911	0.659	0.059	0.0596	0.0484	157.1	4.221	338.7	2.86	69.8	38.7	0	0	11.77	38.9	30.8	52	0	9.3
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	37.548	2003	0.115025741	0.089029974	0.19	14.84	21.95	7.6	26.79	3	23	50	0.028	0.736	3.531	0.801	0.009	0.003	0.006	0.01	15.02	0.232	0.768	0.668	42.71	0	0	0.065	42.69	278705.9	97.95	0.035	18.8	-0.0121	1362.5	48.9	8683.4	14.62	96.6	79.3	41.3	14	1.055	77.2	42.35	4.88	8.0768	13.6	8.47	11.95	13	20.7	4.31	0	0	3	3	1	1	2	1	154	9.6		89.4	8.888	0.583	0.052	0.0626	0.0622	98.4	2.621	303.3	7.81	66.2	18.1	0	0	10.78	22.3	37.8	25.9	0.0004	7.1
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	37.88	2004	0.115025741	0.089029974	0.174	14.94	21.69	8	28.96	3.51	23	57	0.029	0.764	3.518	1.084	0.01	0.003	0.006	0.01	18.3	0.359	0.858	0.465	43.21	0	0.001	0.069	41.13	268521.3	124.9	0.047	7.89	-0.0179	1420.7	36	8628.9	2.84	105.7	96.2	46	8.9	1.037	96.5	48.3	5.16	8.0813	26.2	14.4	21.22	33	28.81	14.63	0	0	3	1	2	0	0	0	170	9.4		92.5	9.308	0.157	0.015	0.0524	0.0444	138.5	3.656	272.7	4.51	58.3	36.7	0	0	13.54	38.8	35.9	47.4	0.0013	0
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	38.212	2005	0.115025741	0.089029974	0.138	13.52	20.72	6.25	28.58	0.39	20	56	0.03	0.791	3.647	1.018	0.008	0.003	0.005	0.014	14.96	0.338	0.764	0.599	45.78	0	0.001	0.064	31.29	204279.9	118.13	0.058	17.9	-0.0154	1389.5	41.1	8575	9.85	99.2	96.5	42	9	0.816	96.4	47.17	5.02	8.0763	23.8	6.93	9.28	24.3	18.76	8.31	0	0	0	3	1	0	0	1	178	12.3		91.4	10.966	1.727	0.189	0.0656	0.0244	80.8	2.115	242.9	4.01	63	22.2	0	0	10.75	25.5	39.6	25.7	0.0021	5.6
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	38.544	2006	0.115025741	0.089029974	0.304	14.1	21.82	7.22	27.12	3.17	23	47	0.029	0.758	3.285	1.152	0.01	0.003	0.005	0.011	17.86	0.354	0.467	0.906	44.45	0	0.002	0.07	38.85	253636.1	143.68	0.057	19.58	-0.019	1397.7	48.7	8521.8	6.81	100.3	91.8	39	21.1	0.89	87.6	54.5	6.42	8.0801	27.6	12.2	17.85	30.7	18.39	2	0	0	5	0	1	0	0	0	184	22		85.4	9.641	1.376	0.133	0.0642	0.0643	140.9	3.656	391.9	4.45	63.1	23	0	0	10.96	32.6	22.7	34.6	0.0023	7.9
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	38.877	2007	0.115025741	0.089029974	0.237	13.23	19.71	5.62	25.66	-0.97	20	55	0.03	0.781	3.526	1.134	0.008	0.003	0.007	0.012	16.33	0.523	0.688	0.516	50.41	0.001	0.003	0.079	38.51	251416.4	112.39	0.045	21.17	-0.014	1369.5	45.1	8469.2	10.38	100.9	99.4	41.9	17.4	0.885	94.6	52.88	8.02	8.0727	29.1	13.51	21.2	35.8	13.58	7.19	0	0	1	1	1	0	1	0		12.9		94.8	11.4	1.441	0.164	0.0704	0.0342	77.7	1.999	370.2	5.19	67.4	26.9	0	0	19.68	25.6	37.3	36.4	0.004	4.4
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	39.209	2008	0.115025741	0.089029974	0.252	14.05	21.38	6.43	28.34	1.18	23	46	0.03	0.763	3.512	1.017	0.011	0.004	0.006	0.009	19.29	0.435	0.61	0.704	43.65	0.001	0.004	0.075	33.61	219426.2	146.68	0.067	15.56	-0.0201	1402.1	43.8	8417.3	8.49	100.5	89.8	41.3	19.4	1.054	94.7	62.8	7.39	8.0739	23.6	6.59	10.05	16.8	23.75	7.58	0	0	0	1	3	0	0	2	161	13.8		89.4	10.141	1.45	0.147	0.0646	0.0463	140.8	3.591	234.1	6.24	66.4	28.8	0	0	4.92	28.4	37.3	39.5	0.0067	8.3
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	39.541	2009	0.115025741	0.089029974	0.239	12.63	19.58	5.09	28.42	-0.07	24	55	0.033	0.829	3.427	1.084	0.012	0.005	0.007	0.01	21.72	0.496	0.57	0.697	48.39	0.003	0.004	0.064	40.21	262515	103.28	0.039	21.44	-0.0125	1342.3	37.7		18.42	91.7	104	33.2	19.6	1.157	110	67.02	5.91	8.0704	19.6	12.02	15.07	29.4	28.38	7.1	0	0	1	0	0	1	1	1	176	14.7		92.8	11.144	1.079	0.12	0.0628	0.0237	145.2	3.672	278.9	4.97	66.3	23.7	0	0	13.65	33.4	33.8	47.4	0.0068	8.2
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	39.874	2010	0.115025741	0.089029974	0.23	15.16	22.29	7.63	29.22	1.35	18	50	0.032	0.81	3.408	0.951	0.011	0.004	0.006	0.011	8.98	0.397	0.794	0.579	51.38	0.003	0.006	0.078	33.75	220340.2	153.1	0.069	21.95	-0.0201	1430.2	46.4	8315.4	10.45	98.3	96	31.6	27.3	0.903	97.7	63.5	6.9	8.0616	29.3	6.44	9.09	20.3	16.78	5.39	0	0	2	2	1	0	1	1	160	16.7		90.1	11.958	1.138	0.136	0.0761	0.0397	112.8	2.829	257.9	7.69	71.4	30	0	0	14.97	31.9	33	49.4	0.007	8.9
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	40.206	2011	0.115025741	0.089029974	0.373	14.15	20.76	7.81	26.88	1.13	24	47	0.034	0.844	3.408	1.128	0.012	0.005	0.006	0.01	14.15	0.421	0.856	0.498	48.86	0.005	0.008	0.066	26.76	174705.3	90.91	0.052	12.01	-0.0121	1463.8	44.7	8265.3	8.97	96.2	94.6	39	15.2	0.89	103.5	77.01	13.73	8.0771	33.4	6.49	9.46	11	17.23	11.18	0	0	2	0	1	0	5	2	180	15		91.9	11.645	1.586	0.185	0.0733	0.0551	134	3.333	223.9	11.37	63.6	19.1	0	0	8.76	24.2	42	32	0.0057	9.7
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	40.538	2012	0.115025741	0.089029974	0.351	14.02	21.75	6.8	27.28	1.35	22	54	0.038	0.954	3.675	0.936	0.011	0.005	0.007	0.014	13.12	0.358	0.732	0.713	51.85	0.006	0.009	0.073	32.96	215182.7	94.09	0.044	14.82	-0.0121	1423.5	35.5	8215.9	11.29	103.7	98	37.3	25.2	1.019	102.7	76.44	8.29	8.0643	35.6	7.22	11.03	24.3	10.89	9.35	0	0	1	0	0	1	3	0	176	11.9		87.7	12.087	0.912	0.11	0.067	0.0406	138.3	3.412	249.6	6.81	62.1	26.6	0	0	11.58	34.2	28.3	41.1	0.0138	11.7
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	40.87	2013	0.115025741	0.089029974	0.427	14.75	21.89	8.37	26.45	0.13	24	52	0.033	0.822	3.862	1.108	0.011	0.005	0.006	0.011	18.53	0.45	0.79	0.558	58.28	0.008	0.008	0.088	35.06	228892.7	153.63	0.067	8.47	-0.0222	1446.2	42.8	8167	9.19	99.5	92.1	33.2	26.2	0.951	99.1	79.24	13.06	8.0693	30.1	6.86	11.62	19.1	22.86	10.42	0	0	0	4	0	0	4	4	158	18.5		87.9	12.947	0.551	0.071	0.0807	0.0263	179.3	4.387	284.7	6.17	63.9	23.3	0	0	9.71	30.2	38.8	27.6	0.0109	11.4
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	41.203	2014	0.115025741	0.089029974	0.377	14.26	21.17	7.64	26.76	-0.93	26	56	0.034	0.838	3.52	1.21	0.011	0.004	0.006	0.013	21.83	0.29	0.919	0.617	55.89	0.01	0.014	0.079	33.88	221189	101.7	0.046	13.77	-0.0135	1478.8	45.7	8118.7	7.93	101.8	94.6	43.3	25.3	0.864	108.8	88.56	8.79	8.0606	39.1	10.84	16.61	25.2	20.77	9.59	0	0	2	2	0	0	2	1	184	18.5		84.3	12.867	0.755	0.097	0.0818	0.0623	156.9	3.808	303.5	7.37	67.7	32.5	0	0	6.8	33.9	33.4	41.7	0.0137	8.3
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	41.535	2015	0.115025741	0.089029974	0.475	14.54	21.22	7.7	27.97	1.08	28	57	0.035	0.84	4.355	1.18	0.012	0.005	0.007	0.012	27.53	0.333	0.646	0.875	56.85	0.013	0.011	0.072	34.16	223017	118.79	0.053	9.36	-0.0168	1491.4	37.8	8071	6.65	104.3	90.9	35.4	21.8	0.907	89.4	87.97	14.35	8.065	38.7	7.4	11.29	13.4	29.51	6.41	0	0	2	3	1	0	1	1	176	12.7		87.2	14.612	1.492	0.218	0.0865	0.0893	192.6	4.637	263.4	8.58	62.4	29.1	0	0	2.31	26	32.5	32.5	0.0201	7.8
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	41.867	2016	0.115025741	0.089029974	0.521	14.47	21	7.12	26.85	1.53	25	42	0.033	0.8	3.454	1.315	0.011	0.003	0.006	0.013	29.97	0.223	0.887	0.761	57.82	0.019	0.015	0.081	38.9	253962.5	104.1	0.041	12.97	-0.014	1537.5	36.6	8023.8	8.94	98.7	96.5	38.5	21	0.917	105.7	94.05	12.74	8.0592	39.6	2	4	5	22.27	5.64	0	0	0	2	0	0	0	1	168	16.3		86.4	13.617	1.781	0.243	0.0772	0.0316	129	3.081	238.7	4.01	56.3	22.1	0	0	9.43	35.9	40.2	43	0.0137	16.4
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	42.2	2017	0.115025741	0.089029974	0.559	13.32	20.18	6.7	25.74	1.22	27	51	0.036	0.854	3.929	1.171	0.012	0.004	0.007	0.012	31.25	0.283	0.928	0.657	63.78	0.016	0.02	0.083	38.16	249131.4	122.41	0.049	8.26	-0.0175	1373.2	42.4	7977.2	10.02	100.4	94.1	37.4	23.5	1.193	102.1	96.52	15.92	8.0533	34.8	9.7	15.37	17.9	23.93	10.05	0	0	2	3	1	0	1	1	191	15.7		89.2	14.393	1.179	0.17	0.0884	0.0597	179.7	4.258	335.5	3.45	67.2	13.4	0	0	16.13	22.4	38.2	31.7	0.0171	7.1
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	42.532	2018	0.115025741	0.089029974	0.671	14.38	20.28	8.09	28.23	1.4	32	47	0.037	0.876	3.253	0.954	0.013	0.005	0.007	0.012	36.78	0.29	0.902	0.69	58.97	0.016	0.014	0.073	29.88	195074.6	132.36	0.068	12.49	-0.0184	1266.7	51.8	7931.1	13.88	99.8	101.1	43	19.4	0.879	116.2	97.92	18.78	8.062	33.8	7.47	10.81	15	21.93	8.65	0	0		5	0	0	0	2	158	14.9		83.5	16.569	2.357	0.391	0.1098	0.084	187.4	4.406	248.3	15.27	63.9	10.3	0	16.32	8.16	28.6	25.9	27.4	0.0267	10.8
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	42.864	2019	0.115025741	0.089029974	0.708	14.94	21.93	8.11	27.7	-0.43	30	41	0.033	0.786	3.735	1.164	0.012	0.005	0.007	0.009	39.67	0.394	0.834	0.644	62.98	0.024	0.021	0.075	37	241558.2	119.16	0.049	8.06	-0.017	1412.3	72	7885.6	7.74	102.1	83.1	31.2	24.9	0.913	87.2	102.36	20.05	8.0547	40.3	9.37	13.72	22.4	29.97	2.92	0	0	3	7	1	2	4	1	163	18.2		83.5	15.375	1.526	0.235	0.1314	0.1867	149.8	3.495	288.1	9.8	76.5	17.2	0	0	10.74	31.7	29.7	35.7	0.0195	5.1
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	43.196	2020	0.115025741	0.089029974	0.657	14.57	20.63	7.48	29.46	2.68	24	56	0.034	0.792	3.201	1.122	0.011	0.005	0.006	0.012	35.69	0.245	0.991	0.677	62.5	0.032	0.023	0.088	39.81	259903.6	86.73	0.033	20.6	-0.0101	1384.2	47.2	7840.6	14.66	98.6	98.8	40.2	20.3	1.023	106.8	106.56	16.41	8.045	39.7	8.73	14.96	26.9	20.25	9.95	0	0	1	5	0	0	1	0	167	21.4		88.3	17.149	1.748	0.3	0.1087	0.1144	143.7	3.327	294.8	5.91	71.1	26.4	1	0	5.15	37.3	28.8	44.8	0.0127	15.1
Afghanistan	AFG	AF	Asia	Southern Asia	33.93	67.71	652860	42.6	17.3	43.529	2021	0.115025741	0.089029974	0.7	14.9	20.97	7.72	27.55	1.58	28	41	0.033	0.772	4.146	1.16	0.012	0.005	0.007	0.009	46.66	0.313	0.621	1.013	62.04	0.027	0.025	0.081	35.12	229284.4	94.34	0.041	13.92	-0.0123	1562.6	61.8	7796.1	5.84	101.2	97.5	26.9	20.6	0.999	106.8	113.27	18.99	8.0552	44.4	10.37	16.89	22.9	28.44	2.38	0	0	7	8	0	0	4	0	183	23.1		79.2	15.694	2.256	0.354	0.1162	0.2857	182.2	4.186	209.9	17.05	69.5	26.4	0	0	4.2	28.8	29.7	46.5	0.0273	17.2
